filename,heating_system
0120_CO14.pdf,Gas central heating
0124_CR0.pdf,Gas central heating
0299_WD24.pdf,Gas central heating
0168_ME2.pdf,Not mentioned
0119_CM6.pdf,Gas central heating
0183_NE43.pdf,Gas central heating
0245_TA5.pdf,Gas central heating
0242_SW6.pdf,Not mentioned
0263_TA7.pdf,Gas central heating
0221_SL9.pdf,Not mentioned
0277_TN2.pdf,Gas central heating
0295_W2.pdf,Gas central heating
0232_SS16.pdf,Gas central heating
0266_TA8.pdf,Gas central heating
0177_N1.pdf,Gas central heating
0219_SG5.pdf,Not mentioned
0122_CO4.pdf,Not mentioned
0297_W6.pdf,Gas central heating
0255_TA6.pdf,Not mentioned
0134_DT4.pdf,Not mentioned
0282_TN34.pdf,Gas central heating
0283_TN34.pdf,Not mentioned
0233_SS17.pdf,Not mentioned
0250_TA6.pdf,Gas central heating
0102_BN17.pdf,Gas central heating
0103_BN17.pdf,Not mentioned
0273_TA9.pdf,Not mentioned
0292_W11.pdf,Gas central heating
0161_LU2.pdf,Not mentioned
0154_HP8.pdf,Gas central heating
0237_SW15.pdf,Not mentioned
0236_SW15.pdf,Not mentioned
0142_E7.pdf,Not mentioned
0195_PO20.pdf,Gas central heating
0210_RM13.pdf,Not mentioned
0138_E12.pdf,Not mentioned
0218_SE7.pdf,Gas central heating
0249_TA6.pdf,Not mentioned
0106_BN22.pdf,Not mentioned
0259_TA6.pdf,Gas central heating
0225_SO51.pdf,Not mentioned
0201_PO4.pdf,Gas central heating
0164_ME1.pdf,Not mentioned
0149_GU3.pdf,Not mentioned
0111_BS27.pdf,Gas central heating
0258_TA6.pdf,Gas central heating
0098_BN11.pdf,Not mentioned
0248_TA6.pdf,Gas central heating
0293_W12.pdf,Not mentioned
0200_PO4.pdf,Not mentioned
0160_LU1.pdf,Gas central heating
0110_BS26.pdf,Not mentioned
0211_RM17.pdf,Not mentioned
0238_SW18.pdf,Not mentioned
0251_TA6.pdf,Gas central heating
0095_BH1.pdf,Electric storage heaters or radiators
0167_ME19.pdf,Not mentioned
0099_BN12.pdf,Not mentioned
0175_MK8.pdf,Not mentioned
0272_TA9.pdf,Gas central heating
0097_BH21.pdf,Gas central heating
0140_E7.pdf,Gas central heating
0194_PO19.pdf,Not mentioned
0107_BS23.pdf,Gas central heating
0145_EN3.pdf,Gas central heating
0180_N20.pdf,Gas central heating
0231_SS16.pdf,Gas central heating
0230_SS16.pdf,Gas central heating
0244_SW6.pdf,Not mentioned
0269_TA9.pdf,Gas central heating
0137_E1.pdf,Not mentioned
0173_ME8.pdf,Gas central heating
0150_GU30.pdf,Not mentioned
0224_SO18.pdf,Not mentioned
0153_HP3.pdf,Not mentioned
0113_CA11.pdf,Oil or LPG central heating
0204_PR3.pdf,Gas central heating
0278_TN24.pdf,Gas central heating
0163_LU4.pdf,Gas central heating
0174_MK41.pdf,Not mentioned
0215_SE25.pdf,Not mentioned
0209_RH19.pdf,Not mentioned
0162_LU3.pdf,Not mentioned
0270_TA9.pdf,Gas central heating
0279_TN26.pdf,Not mentioned
0253_TA6.pdf,Gas central heating
0207_RH10.pdf,Not mentioned
0206_RH10.pdf,Gas central heating
0156_KT6.pdf,Not mentioned
0132_DT4.pdf,Not mentioned
0139_E7.pdf,Not mentioned
0288_TR15.pdf,Gas central heating
0118_CM20.pdf,Not mentioned
0214_SE24.pdf,Gas central heating
0202_PO7.pdf,Not mentioned
